task,ASV2021_inner,ASV2021_inner,ASV2021_inner,ASV2021_inner,ASV2021_inner,ASV2021_inner,ASV2021_inner
method,0inner,1AR,2Non-AR,3traditional,4unknown,5concat,6whole
model,,,,,,,
AASIST-v0,92.35/16.25,82.76/24.87,88.28/20.05,97.10/$\phantom{0}$8.34,89.61/19.92,88.47/19.81,89.35/19.60
AASIST-v1,92.78/15.47,84.23/23.88,88.69/19.98,97.27/$\phantom{0}$8.44,90.21/19.77,89.13/18.91,90.00/18.98
AASIST-v10,93.39/14.57,85.27/22.17,90.96/16.95,97.42/$\phantom{0}$7.94,91.07/17.88,90.38/17.47,91.11/17.22
AASIST-v2,93.60/13.86,84.78/22.73,89.64/18.19,96.79/$\phantom{0}$9.29,90.17/18.83,90.62/16.99,90.36/17.80
AASIST-v3,93.83/14.49,85.29/23.75,89.55/19.46,96.93/$\phantom{0}$9.11,91.32/18.02,90.68/17.98,90.76/18.29
AASIST-v4,92.43/16.14,85.38/22.38,90.94/16.74,98.10/$\phantom{0}$6.98,91.29/17.92,88.64/19.50,91.19/17.30
AASIST-v6,93.24/14.73,85.02/22.78,90.38/17.43,97.43/$\phantom{0}$7.86,91.15/17.99,90.20/17.97,90.91/17.47
AASIST-v7,91.24/17.91,83.82/25.56,88.13/21.59,94.04/14.19,87.73/21.68,87.46/21.86,88.33/21.31
AASIST-v8,90.54/19.30,83.70/24.90,88.01/21.08,97.21/$\phantom{0}$8.59,90.05/19.30,84.95/24.29,89.30/20.14
AASIST-v9,91.88/16.67,83.88/24.34,88.91/19.69,96.43/$\phantom{0}$9.77,89.59/19.83,88.20/20.38,89.57/19.27
ASDG-v0,89.46/18.84,82.32/27.15,82.48/25.51,87.87/20.99,85.91/23.42,87.86/21.31,84.91/24.19
ASDG-v1,91.07/17.82,82.68/26.34,81.07/27.91,89.56/19.43,86.75/22.41,89.49/19.40,85.41/24.06
ASDG-v10,89.33/17.80,82.83/27.10,81.83/26.93,88.84/19.24,86.75/23.24,88.51/19.15,85.35/23.94
ASDG-v2,89.95/18.45,80.44/28.39,80.13/26.89,85.84/23.29,83.45/25.51,88.47/20.70,82.98/25.74
ASDG-v3,90.31/18.25,81.86/27.27,82.04/26.00,86.70/22.07,83.51/25.36,88.88/19.97,83.97/24.81
ASDG-v4,85.75/24.27,82.48/27.53,81.60/28.40,84.52/25.37,84.94/25.80,83.76/27.47,83.43/27.02
ASDG-v6,91.59/16.97,82.84/26.24,82.27/26.51,89.32/19.63,85.81/23.67,90.08/18.88,85.50/23.85
ASDG-v7,86.47/19.67,81.77/28.12,79.99/28.68,87.75/20.56,85.39/25.24,85.65/20.54,83.89/25.33
ASDG-v8,88.39/19.19,80.64/28.26,80.16/27.53,87.19/20.29,84.20/24.86,87.74/20.16,83.41/25.23
ASDG-v9,88.98/19.06,80.68/27.49,79.77/27.25,84.63/23.77,81.30/26.61,88.42/20.66,82.18/26.05
AudioClip-v0,89.11/19.48,81.10/26.90,79.81/28.14,87.09/20.73,80.69/26.44,88.00/20.94,82.69/25.42
AudioClip-v1,90.37/17.74,83.38/24.94,80.98/28.04,89.90/18.77,84.61/25.01,89.56/18.94,85.15/23.89
AudioClip-v10,90.42/18.90,84.68/23.74,82.33/26.30,88.87/20.32,83.94/24.66,89.79/19.19,85.38/23.44
AudioClip-v2,86.23/19.58,80.80/26.60,80.07/27.39,86.16/20.02,81.64/26.00,86.70/19.85,82.53/24.71
AudioClip-v3,88.88/19.88,84.13/24.39,83.11/25.78,89.56/18.24,84.36/24.14,86.55/22.13,85.42/23.22
AudioClip-v4,90.45/17.42,83.28/25.45,81.65/27.27,89.23/19.13,83.22/25.44,89.60/18.31,84.80/24.12
AudioClip-v6,88.28/19.80,80.50/27.30,78.14/29.10,86.49/21.76,79.96/27.53,88.18/19.76,81.88/26.08
