task,LibriSeVoc_cross_method,LibriSeVoc_cross_method,LibriSeVoc_cross_method,LibriSeVoc_cross_method,LibriSeVoc_cross_method,modelname,version
method,1,2,3,5,999,,
model,,,,,,,
LCNN---v00,98.38/$\phantom{0}$6.55,70.06/36.50,80.26/27.11,99.37/$\phantom{0}$3.64,87.02/18.45,LCNN,v00
LCNN---v01,97.75/$\phantom{0}$8.03,64.45/40.25,75.50/31.20,98.50/$\phantom{0}$6.42,84.05/21.47,LCNN,v01
LCNN---v02,98.04/$\phantom{0}$6.70,62.22/41.74,71.05/35.10,99.59/$\phantom{0}$3.03,82.73/21.64,LCNN,v02
LCNN---v03,97.89/$\phantom{0}$7.47,78.11/29.19,74.46/31.42,99.78/$\phantom{0}$2.24,87.56/17.58,LCNN,v03
LCNN---v04,97.67/$\phantom{0}$7.50,67.34/38.31,75.63/31.44,98.89/$\phantom{0}$4.81,84.88/20.52,LCNN,v04
LCNN---v06,96.77/$\phantom{0}$9.02,73.78/32.64,77.84/28.87,99.87/$\phantom{0}$1.55,87.07/18.02,LCNN,v06
LCNN---v07,97.88/$\phantom{0}$7.22,61.05/43.39,76.00/30.41,98.74/$\phantom{0}$5.69,83.42/21.68,LCNN,v07
LCNN---v08,97.97/$\phantom{0}$7.19,63.79/40.16,70.01/35.59,99.37/$\phantom{0}$3.63,82.78/21.65,LCNN,v08
LCNN---v09,97.17/$\phantom{0}$8.75,82.84/24.91,80.32/26.96,99.83/$\phantom{0}$1.74,90.04/15.59,LCNN,v09
LCNN---v10,95.67/10.87,68.20/37.18,64.14/39.53,99.37/$\phantom{0}$3.67,81.84/22.81,LCNN,v10
RawNet2---v00,77.95/29.03,81.56/26.13,67.40/37.71,83.70/24.12,77.65/29.25,RawNet2,v00
RawNet2---v01,75.37/30.44,73.38/32.26,66.68/37.11,78.40/28.25,73.46/32.01,RawNet2,v01
RawNet2---v02,74.28/32.11,80.32/27.24,65.88/38.80,78.95/28.63,74.86/31.70,RawNet2,v02
RawNet2---v03,72.09/33.89,81.93/25.26,66.97/37.53,77.11/29.31,74.52/31.49,RawNet2,v03
RawNet2---v04,73.13/32.40,76.92/29.72,65.99/38.08,77.12/29.84,73.29/32.51,RawNet2,v04
RawNet2---v06,75.69/30.94,76.49/30.41,67.82/37.37,77.39/29.95,74.35/32.16,RawNet2,v06
RawNet2---v07,71.15/34.50,79.99/27.54,65.07/38.87,77.62/29.62,73.45/32.63,RawNet2,v07
RawNet2---v08,76.37/29.27,79.66/26.72,64.79/38.70,81.03/26.09,75.46/30.19,RawNet2,v08
RawNet2---v09,74.81/31.67,79.16/27.87,65.46/38.81,78.13/29.00,74.39/31.84,RawNet2,v09
RawNet2---v10,75.48/29.21,73.18/28.13,61.82/41.46,76.10/27.44,71.65/31.56,RawNet2,v10
RawGAT---v00,83.54/25.13,83.46/24.16,81.45/26.51,92.35/15.89,85.20/22.92,RawGAT,v00
RawGAT---v01,84.02/24.31,81.32/26.23,77.65/29.71,93.35/14.43,84.09/23.67,RawGAT,v01
RawGAT---v02,75.50/31.65,79.89/27.01,75.48/31.24,91.13/16.68,80.50/26.65,RawGAT,v02
RawGAT---v03,69.93/34.79,76.39/30.06,72.90/33.13,81.30/26.91,75.13/31.22,RawGAT,v03
RawGAT---v04,84.07/24.61,79.10/28.29,77.55/29.80,92.27/15.64,83.25/24.58,RawGAT,v04
RawGAT---v06,72.37/33.81,78.00/28.21,74.30/32.26,87.91/20.01,78.15/28.57,RawGAT,v06
RawGAT---v07,79.64/28.29,80.09/27.34,79.12/29.08,89.94/18.32,82.20/25.76,RawGAT,v07
RawGAT---v08,46.95/51.74,49.65/49.45,49.04/50.23,49.22/49.92,48.72/50.34,RawGAT,v08
RawGAT---v09,80.51/26.98,80.94/26.51,75.84/31.16,89.20/18.89,81.62/25.88,RawGAT,v09
RawGAT---v10,81.69/26.54,83.03/24.97,79.21/28.66,90.22/18.63,83.54/24.70,RawGAT,v10
Wave2Vec2---v00,93.52/$\phantom{0}$9.54,99.68/$\phantom{0}$0.68,84.80/19.99,94.19/$\phantom{0}$8.78,93.05/$\phantom{0}$9.75,Wave2Vec2,v00
Wave2Vec2---v01,37.77/59.18,59.04/43.64,57.14/45.29,63.36/39.98,54.33/47.03,Wave2Vec2,v01
Wave2Vec2---v02,67.26/37.49,59.79/43.92,66.62/37.94,43.93/54.97,59.40/43.58,Wave2Vec2,v02
Wave2Vec2---v03,48.62/50.91,48.51/51.11,53.21/48.09,50.17/49.75,50.13/49.97,Wave2Vec2,v03
