model,LibriSeVoc_inner,wavefake_inner,DECRO_english,DECRO_chinese,avg
LCNN---v00,99.97/0.76,99.95/0.74,99.96/0.80,99.84/1.64,99.93/0.98
LCNN---v01,99.97/0.81,99.98/0.56,99.97/0.86,99.90/1.23,99.95/0.87
LCNN---v02,99.97/0.80,99.98/0.65,99.94/0.92,99.95/1.05,99.96/0.85
LCNN---v03,99.93/1.17,99.97/0.75,99.93/1.25,99.93/1.11,99.94/1.07
LCNN---v04,99.96/0.83,99.99/0.47,99.97/0.79,99.90/1.22,99.95/0.83
LCNN---v06,99.95/1.12,99.98/0.59,99.96/0.90,99.78/1.92,99.92/1.13
LCNN---v07,99.94/1.15,99.96/0.87,99.97/0.76,99.86/1.65,99.93/1.11
LCNN---v08,99.96/0.93,99.99/0.55,99.96/0.78,99.91/1.33,99.95/0.90
LCNN---v09,99.99/0.50,99.97/0.58,99.93/1.14,99.86/1.67,99.94/0.97
LCNN---v10,99.96/0.96,99.98/0.61,99.98/0.78,99.86/1.51,99.94/0.96
ASDG---v00,99.97/0.81,100.00/0.43,99.88/1.31,99.75/1.98,99.90/1.13
ASDG---v01,99.90/0.83,99.91/1.03,99.96/0.86,99.54/2.82,99.83/1.38
ASDG---v02,99.94/1.03,99.88/0.84,99.92/1.07,99.54/3.60,99.82/1.64
ASDG---v03,99.91/1.17,100.00/0.77,99.90/1.03,99.92/1.23,99.93/1.05
ASDG---v04,99.95/0.72,99.94/0.74,99.95/0.84,99.78/1.38,99.91/0.92
ASDG---v06,99.89/2.35,99.91/0.71,99.92/1.37,99.85/1.63,99.89/1.51
ASDG---v07,99.92/0.44,99.98/0.61,99.86/1.03,99.94/0.90,99.93/0.75
ASDG---v08,99.96/0.80,99.88/0.76,99.94/1.23,99.87/1.65,99.91/1.11
ASDG---v09,99.93/1.14,99.99/0.84,99.90/1.37,99.92/1.16,99.94/1.13
ASDG---v10,99.95/2.95,99.94/0.97,99.94/0.88,99.92/1.27,99.94/1.52
Ours/ResNet---v00,99.99/0.26,100.00/0.13,99.99/0.51,99.98/0.69,99.99/0.40
Ours/ResNet---v01,99.97/0.49,100.00/0.03,99.99/0.51,99.98/0.62,99.99/0.41
Ours/ResNet---v02,99.98/0.49,100.00/0.13,99.99/0.49,99.98/0.57,99.99/0.42
Ours/ResNet---v03,100.00/0.30,100.00/0.13,99.99/0.41,99.98/0.47,99.99/0.33
Ours/ResNet---v04,100.00/0.15,100.00/0.10,99.99/0.41,99.96/0.77,99.99/0.36
Ours/ResNet---v06,99.99/0.57,100.00/0.06,99.99/0.45,99.98/0.58,99.99/0.42
Ours/ResNet---v07,99.99/0.49,100.00/0.03,99.99/0.44,99.97/0.67,99.99/0.41
Ours/ResNet---v08,99.98/0.57,100.00/0.06,99.99/0.45,99.99/0.39,99.99/0.37
Ours/ResNet---v09,99.99/0.42,100.00/0.10,99.99/0.35,99.98/0.51,99.99/0.34
Ours/ResNet---v10,99.97/0.61,100.00/0.06,99.99/0.47,99.98/0.45,99.99/0.40
