task,ASV2021_inner,ASV2021_inner,ASV2021_inner,ASV2021_inner,ASV2021_inner,ASV2021_inner,ASV2021_inner,nan,nan,nan,nan,nan,nan,nan,modelname,version
method,0inner,1AR,2Non-AR,3traditional,4unknown,5concat,6whole,0inner,1AR,2Non-AR,3traditional,4unknown,5concat,6whole,,
model,,,,,,,,,,,,,,,,
LCNN---v00,93.27/14.82,86.59/22.69,84.98/24.28,92.40/16.12,90.80/17.91,91.69/16.75,88.93/20.24,nan,nan,nan,nan,nan,nan,nan,LCNN,v00
LCNN---v01,94.16/13.28,85.96/23.68,84.05/25.50,92.35/16.42,90.95/17.84,92.83/14.89,88.72/20.58,nan,nan,nan,nan,nan,nan,nan,LCNN,v01
LCNN---v02,93.61/14.79,86.55/22.65,85.22/23.95,91.66/17.28,90.53/18.28,91.76/16.94,88.75/20.36,nan,nan,nan,nan,nan,nan,nan,LCNN,v02
LCNN---v03,91.73/16.74,84.40/24.95,83.43/25.52,92.37/16.61,91.60/17.40,89.84/18.66,88.08/21.33,nan,nan,nan,nan,nan,nan,nan,LCNN,v03
LCNN---v04,92.50/16.02,85.86/23.57,85.19/23.97,91.12/18.17,89.33/19.66,90.82/17.77,88.09/21.17,nan,nan,nan,nan,nan,nan,nan,LCNN,v04
LCNN---v06,93.68/14.66,86.19/23.50,84.63/24.89,91.82/17.29,90.43/18.28,91.80/16.81,88.54/20.85,nan,nan,nan,nan,nan,nan,nan,LCNN,v06
LCNN---v07,92.78/15.48,86.36/22.64,83.51/25.30,91.71/17.03,89.86/18.97,90.71/17.73,88.08/20.92,nan,nan,nan,nan,nan,nan,nan,LCNN,v07
LCNN---v08,92.31/15.90,84.47/24.45,81.25/27.18,89.78/19.25,88.12/20.54,91.23/17.02,86.35/22.64,nan,nan,nan,nan,nan,nan,nan,LCNN,v08
LCNN---v09,92.91/15.65,84.05/24.79,82.18/26.09,91.30/17.67,87.83/20.98,90.96/17.57,86.73/22.21,nan,nan,nan,nan,nan,nan,nan,LCNN,v09
LCNN---v10,92.57/15.76,84.26/25.06,81.64/27.34,90.36/18.89,88.42/20.25,91.13/17.42,86.60/22.69,nan,nan,nan,nan,nan,nan,nan,LCNN,v10
RawNet2---v00,88.33/20.22,79.93/28.66,81.59/27.78,93.23/15.05,86.69/23.90,85.39/22.42,85.36/24.44,nan,nan,nan,nan,nan,nan,nan,RawNet2,v00
