task,LibriSeVoc_cross_dataset,LibriSeVoc_cross_dataset,LibriSeVoc_cross_dataset,LibriSeVoc_cross_dataset,LibriSeVoc_cross_dataset,LibriSeVoc_cross_dataset,LibriSeVoc_cross_dataset,LibriSeVoc_cross_dataset,LibriSeVoc_cross_dataset,LibriSeVoc_cross_dataset,LibriSeVoc_cross_dataset,modelname,version
method,0,1,2,3,4,5,6,inTheWild,en,ch,avg,,
model,,,,,,,,,,,,,
Wave2Vec2---v00,83.70/23.70,69.83/35.36,79.35/27.82,67.81/36.80,66.77/37.64,83.30/24.07,80.72/26.24,87.31/20.16,61.37/44.05,71.24/34.87,75.93/30.23,Wave2Vec2,v00
Wave2Vec2---v01,51.51/48.87,54.79/46.58,53.89/47.22,52.73/47.98,53.68/47.46,50.53/49.54,62.54/41.19,59.14/42.98,32.10/63.82,60.47/44.27,54.24/46.98,Wave2Vec2,v01
Wave2Vec2---v02,51.69/48.73,56.02/45.63,54.39/46.76,50.28/49.84,55.76/45.71,49.27/50.63,59.99/42.77,32.28/63.13,68.25/34.11,45.42/51.99,53.92/47.15,Wave2Vec2,v02
Wave2Vec2---v03,95.92/10.64,86.27/21.08,93.27/13.89,84.08/23.36,82.60/24.85,95.69/10.73,96.34/$\phantom{0}$9.91,93.58/13.72,66.39/39.25,75.43/31.53,90.60/16.35,Wave2Vec2,v03
Wave2Vec2---v04,51.20/49.25,50.24/49.67,47.95/51.47,47.90/51.65,51.36/48.99,50.33/49.43,50.33/49.79,32.51/62.50,54.74/46.58,56.02/45.95,49.90/50.04,Wave2Vec2,v04
Wave2Vec2---v06,51.54/48.68,46.47/52.52,50.20/49.74,50.21/49.82,49.51/50.22,48.95/50.61,57.48/44.64,58.76/42.66,61.86/43.03,62.73/39.91,50.62/49.46,Wave2Vec2,v06
Wave2Vec2---v07,95.23/11.12,86.85/20.62,92.89/14.21,83.89/23.59,79.59/27.40,94.91/11.64,94.06/12.53,93.09/13.71,67.01/38.02,72.47/33.37,89.63/17.30,Wave2Vec2,v07
Wave2Vec2---v08,91.27/16.08,78.44/28.39,86.32/21.11,76.41/30.11,62.01/41.06,90.20/17.27,93.50/13.08,94.27/12.82,53.71/49.82,75.00/28.96,82.59/23.87,Wave2Vec2,v08
Wave2Vec2---v09,29.96/69.56,26.17/68.73,26.37/70.89,27.91/67.03,28.99/65.79,31.12/68.35,29.06/70.03,80.15/20.57,39.04/60.53,69.67/34.71,28.51/68.63,Wave2Vec2,v09
Wave2Vec2---v10,85.86/20.43,75.96/29.91,83.51/22.89,70.22/35.02,67.10/37.69,85.26/21.16,84.39/21.81,90.56/17.33,61.38/44.07,72.81/32.33,78.90/26.99,Wave2Vec2,v10
Wave2Vec2-old1---v00,77.00/30.78,60.90/43.05,77.91/29.80,59.16/44.48,59.21/44.41,70.00/36.71,77.20/30.56,97.50/$\phantom{0}$7.74,72.66/33.91,78.72/28.96,68.77/37.11,Wave2Vec2-old1,v00
Wave2Vec2-old1---v01,94.47/12.89,90.18/17.92,96.30/10.17,87.59/20.59,89.08/18.80,92.37/15.51,95.02/11.95,96.14/10.02,63.60/40.80,80.34/26.78,92.15/15.40,Wave2Vec2-old1,v01
Wave2Vec2-old1---v02,83.76/24.49,70.44/36.22,82.70/25.22,62.61/42.24,65.24/40.18,77.00/30.95,85.52/22.16,96.29/10.23,65.48/38.96,83.43/23.64,75.32/31.64,Wave2Vec2-old1,v02
