model,wavefake_cross_lang,DECRO_chinese,DECRO_english,avg
LCNN---v00,98.31/6.77,54.47/42.85,65.86/38.58,72.88/29.40
LCNN---v01,99.22/4.63,53.05/44.76,65.74/38.92,72.67/29.44
LCNN---v02,98.67/5.68,55.97/43.12,69.01/35.59,74.55/28.13
LCNN---v03,97.61/7.87,50.89/46.18,62.46/40.15,70.32/31.40
LCNN---v04,97.68/7.87,57.52/42.17,73.01/32.15,76.07/27.40
LCNN---v06,97.86/7.82,47.04/49.96,69.63/34.79,71.51/30.86
LCNN---v07,98.28/6.87,55.40/41.99,71.09/34.83,74.92/27.90
LCNN---v08,97.81/7.51,54.51/43.48,73.51/32.65,75.28/27.88
LCNN---v09,98.46/6.68,54.96/43.24,72.56/33.52,75.33/27.82
LCNN---v10,98.67/5.68,54.10/43.68,69.16/35.61,73.98/28.32
RawNet2---v00,73.20/33.96,59.48/42.33,57.62/44.23,63.44/40.17
RawNet2---v01,74.46/32.36,59.33/43.40,54.19/46.01,62.66/40.59
RawNet2---v02,76.24/30.72,43.60/54.29,55.62/45.34,58.49/43.45
RawNet2---v03,70.56/35.06,54.42/45.31,58.40/43.12,61.12/41.16
RawNet2---v04,71.60/34.42,57.17/42.89,58.59/43.81,62.45/40.38
RawNet2---v06,74.23/32.56,55.12/44.51,59.35/42.46,62.90/39.84
RawNet2---v07,75.51/31.36,58.40/41.89,56.95/45.30,63.62/39.52
RawNet2---v08,73.59/33.27,57.04/42.85,48.77/50.59,59.80/42.23
RawNet2---v09,75.61/31.38,50.79/47.43,55.51/45.60,60.64/41.47
RawNet2---v10,72.33/34.18,55.33/44.80,56.67/45.28,61.44/41.42
RawGAT---v00,95.52/11.36,55.47/42.94,57.58/42.00,69.53/32.10
RawGAT---v01,94.93/12.04,55.73/45.55,57.16/41.82,69.27/33.14
RawGAT---v02,91.68/16.45,48.63/48.16,57.69/42.63,66.00/35.74
RawGAT---v03,95.72/11.20,52.65/43.89,54.28/42.87,67.55/32.65
RawGAT---v04,95.84/11.10,55.04/43.00,46.28/51.20,65.72/35.10
RawGAT---v06,93.06/15.15,56.02/42.76,61.54/39.74,70.20/32.55
RawGAT---v07,95.78/11.14,57.61/41.29,60.41/40.55,71.27/30.99
RawGAT---v08,93.91/13.31,55.47/42.56,58.23/41.76,69.20/32.54
RawGAT---v09,95.72/11.28,52.80/44.54,55.73/42.60,68.08/32.81
RawGAT---v10,92.19/15.59,57.01/41.90,63.10/40.09,70.77/32.53
Wave2Vec2---v00,,39.52/56.82,66.39/38.04,52.96/47.43
Wave2Vec2---v01,,47.09/51.81,49.43/51.81,48.26/51.81
Wave2Vec2---v02,,48.73/47.28,50.14/50.05,49.44/48.66
Wave2Vec2---v03,,49.85/50.11,72.09/33.18,60.97/41.64
Wave2Vec2---v04,,45.87/50.38,62.21/42.18,54.04/46.28
Wave2Vec2---v06,,49.58/50.47,60.06/44.08,54.82/47.28
Wave2Vec2---v07,,51.78/48.72,59.92/45.82,55.85/47.27
Wave2Vec2---v08,,45.35/53.84,64.06/36.52,54.71/45.18
Wave2Vec2---v09,,54.67/51.82,53.89/47.34,54.28/49.58
Wave2Vec2---v10,,62.83/40.68,51.57/48.49,57.20/44.59
Wave2Vec2-old1---v00,87.26/21.32,64.50/41.36,78.75/26.34,76.84/29.67
Wave2Vec2-old1---v01,88.56/19.82,70.31/36.09,70.46/35.57,76.44/30.49
Wave2Vec2-old1---v02,89.36/18.74,68.47/38.43,80.55/25.53,79.46/27.57
Wave2Vec2-old1---v03,92.60/15.42,70.15/39.08,77.69/29.53,80.15/28.01
Wave2Vec2-old1---v04,92.76/15.02,72.24/35.15,81.46/27.30,82.15/25.82
Wave2Vec2-old1---v06,93.99/13.50,59.16/42.60,81.54/25.07,78.23/27.05
Wave2Vec2-old1---v07,88.71/19.54,68.46/39.53,79.78/27.26,78.98/28.78
Wave2Vec2-old1---v08,92.93/14.54,69.68/36.79,71.19/32.74,77.93/28.02
Wave2Vec2-old1---v09,92.93/15.09,65.04/38.83,70.17/35.73,76.05/29.88
Wave2Vec2-old1---v10,91.73/15.96,84.21/23.15,63.95/39.83,79.96/26.31
WaveLM---v00,56.08/45.60,56.63/42.64,52.07/48.65,54.93/45.63
WaveLM---v01,97.97/7.40,49.22/50.58,53.95/47.29,67.05/35.09
WaveLM---v02,77.83/29.20,67.64/38.67,65.62/38.75,70.36/35.54
WaveLM---v03,61.52/41.63,45.71/49.83,61.41/39.39,56.21/43.61
WaveLM---v04,60.45/42.85,49.37/47.69,62.77/39.66,57.53/43.40
WaveLM---v06,97.67/7.79,46.98/48.30,64.37/38.57,69.67/31.55
WaveLM---v07,97.13/8.98,55.60/43.57,48.79/51.42,67.17/34.66
WaveLM---v08,97.95/7.38,55.84/42.59,66.39/36.47,73.40/28.81
WaveLM---v09,96.65/9.66,47.70/46.12,57.26/43.55,67.21/33.11
WaveLM---v10,97.85/7.69,56.21/42.72,65.38/38.54,73.15/29.65
WaveLM-old1---v00,95.84/11.13,62.50/42.77,71.76/34.96,76.70/29.62
WaveLM-old1---v01,97.21/8.94,60.89/42.47,69.16/38.17,75.75/29.86
WaveLM-old1---v02,96.29/10.49,58.32/42.98,73.44/34.00,76.01/29.16
WaveLM-old1---v03,96.67/9.60,65.53/40.74,69.04/35.93,77.08/28.76
WaveLM-old1---v04,97.44/8.23,61.35/42.60,64.46/40.79,74.42/30.54
WaveLM-old1---v06,94.71/12.23,62.24/40.88,74.59/33.28,77.18/28.79
WaveLM-old1---v07,97.09/9.01,68.35/40.88,76.50/31.79,80.65/27.23
WaveLM-old1---v08,96.59/9.56,57.69/43.75,64.87/41.10,73.05/31.47
WaveLM-old1---v09,93.17/14.27,57.50/43.87,70.95/36.34,73.88/31.49
WaveLM-old1---v10,97.12/8.70,57.95/42.78,78.86/29.17,77.98/26.88
LibriSeVoc---v00,64.39/40.04,74.55/32.69,61.43/41.73,66.79/38.15
LibriSeVoc---v01,69.94/36.11,74.22/32.51,58.32/42.64,67.49/37.09
LibriSeVoc---v02,65.68/39.31,76.92/30.46,61.31/41.17,67.97/36.98
LibriSeVoc---v03,69.26/36.49,61.87/40.62,57.97/44.18,63.03/40.43
LibriSeVoc---v04,68.71/36.96,67.90/36.40,61.53/41.43,66.04/38.26
LibriSeVoc---v06,69.51/36.14,70.99/36.62,61.60/41.53,67.37/38.10
LibriSeVoc---v07,70.54/35.58,69.84/36.72,61.13/41.38,67.17/37.89
